feature,importance
seller_avg_review,0.347088026750883
purchase_month,0.060688221686333824
freight_value,0.046120082494505735
seller_total_items,0.040125003261703415
estimated_delivery_days,0.03863164377126149
freight_ratio,0.034278159579456756
category_avg_review,0.03198626570887992
product_description_lenght,0.02816414254942827
price,0.027919367782704263
price_vs_category_avg_ratio,0.027839110044125388
product_weight_g,0.02597331133324457
customer_state_RJ,0.02593508977580673
product_volume_cm3,0.025868151747910077
seller_avg_price,0.024921610383843707
product_height_cm,0.02242492286862499
product_name_lenght,0.019354956090981788
purchase_hour,0.01920403068520541
customer_state_SP,0.018565645215339665
product_width_cm,0.018157609643736413
product_length_cm,0.01796398965347707
category_total_items,0.01477071098403652
category_avg_price,0.012713805062472862
product_photos_qty,0.012366865054169332
purchase_dayofweek,0.011696647594340522
customer_state_MG,0.003689308125488303
product_category_name_english_bed_bath_table,0.0027638132672355995
product_category_name_english_office_furniture,0.0024229930666360847
product_category_name_english_furniture_decor,0.002193276695100556
customer_state_BA,0.0021492435310251413
customer_state_PR,0.0019825004262385084
product_category_name_english_computers_accessories,0.0017083094083730817
product_category_name_english_health_beauty,0.0016815061537758676
product_category_name_english_None,0.0015133583644005599
product_category_name_english_toys,0.0013793259724480683
customer_state_RS,0.0012965403372696862
customer_state_CE,0.0012535713558582695
product_category_name_english_housewares,0.0011172237438594492
product_category_name_english_sports_leisure,0.0010608805107365804
customer_state_MA,0.0010386719985673823
product_category_name_english_telephony,0.0010225374250501988
product_category_name_english_luggage_accessories,0.0009840949905968843
product_category_name_english_garden_tools,0.0009763541265828257
product_category_name_english_watches_gifts,0.0009294974771575088
product_category_name_english_cool_stuff,0.0009267534334088402
customer_state_SC,0.0009120580809563058
product_category_name_english_stationery,0.0008096647967591395
product_category_name_english_auto,0.0007302434221079404
customer_state_PA,0.0006564293683168487
product_category_name_english_baby,0.0006521725250743911
customer_state_AL,0.0006341681575763427
product_category_name_english_perfumery,0.0006022828794373825
product_category_name_english_books_general_interest,0.0005838928430498138
customer_state_DF,0.0005529205413414381
product_category_name_english_fashion_bags_accessories,0.000527527908185625
customer_state_PE,0.0005016894297116894
product_category_name_english_electronics,0.0004760079612223242
customer_state_ES,0.00045030581156398395
product_category_name_english_pet_shop,0.0004430110608434319
product_category_name_english_consoles_games,0.0004389310594632755
customer_state_GO,0.00043516663600302023
customer_state_PB,0.0003744816030500402
product_category_name_english_small_appliances,0.00031816681255049536
customer_state_MT,0.00029664877090393986
product_category_name_english_construction_tools_construction,0.0002883284142862311
product_category_name_english_furniture_living_room,0.00025458708107887893
product_category_name_english_food,0.000254048079683064
product_category_name_english_home_appliances,0.00024222092923478113
customer_state_MS,0.00024131994178527836
product_category_name_english_construction_tools_lights,0.0002402631452597895
customer_state_RN,0.0001941798228699331
product_category_name_english_fixed_telephony,0.00018801788092802238
product_category_name_english_air_conditioning,0.0001826787049995917
product_category_name_english_food_drink,0.00017685796526452607
product_category_name_english_home_confort,0.00017659312227562532
customer_state_PI,0.00016529354828212617
product_category_name_english_costruction_tools_garden,0.00016074992990317854
product_category_name_english_musical_instruments,0.0001561146657159537
product_category_name_english_home_construction,0.00015276927408014652
customer_state_SE,0.00013468476714035071
product_category_name_english_signaling_and_security,0.00011547418618930995
product_category_name_english_fashion_male_clothing,0.00011419376197732418
customer_state_TO,0.00010159589279240841
product_category_name_english_industry_commerce_and_business,9.789784213855549e-05
product_category_name_english_art,9.484439189952476e-05
product_category_name_english_drinks,9.205971054088166e-05
product_category_name_english_audio,9.107679646613547e-05
product_category_name_english_kitchen_dining_laundry_garden_furniture,8.506272040844608e-05
product_category_name_english_books_technical,8.158556145985705e-05
product_category_name_english_construction_tools_safety,7.311632833295949e-05
product_category_name_english_fashion_shoes,5.931956786520981e-05
customer_state_RO,5.386484815170369e-05
product_category_name_english_home_appliances_2,4.7339048231114844e-05
customer_state_AM,4.1953194155830535e-05
product_category_name_english_agro_industry_and_commerce,4.108559114387486e-05
product_category_name_english_fashion_underwear_beach,4.030749712297082e-05
product_category_name_english_christmas_supplies,3.960560872918766e-05
product_category_name_english_computers,3.3936712572176085e-05
customer_state_AP,2.9332072139778983e-05
product_category_name_english_market_place,2.7099976081474584e-05
product_category_name_english_small_appliances_home_oven_and_coffee,2.6187581282963283e-05
product_category_name_english_cine_photo,2.2656598948390235e-05
product_category_name_english_costruction_tools_tools,2.1091685317266527e-05
product_category_name_english_dvds_blu_ray,1.9191391514763785e-05
product_category_name_english_furniture_bedroom,1.9106650883229438e-05
product_category_name_english_diapers_and_hygiene,1.4681898581337367e-05
product_category_name_english_party_supplies,1.454434865594524e-05
product_category_name_english_tablets_printing_image,1.4302190247110688e-05
product_category_name_english_flowers,1.2351549481334113e-05
customer_state_RR,9.28316051259146e-06
product_category_name_english_home_comfort_2,7.504094165132777e-06
product_category_name_english_books_imported,4.670184378408427e-06
product_category_name_english_furniture_mattress_and_upholstery,2.0702844466611406e-06
customer_state_AC,0.0
product_category_name_english_arts_and_craftmanship,0.0
product_category_name_english_cds_dvds_musicals,0.0
product_category_name_english_fashion_childrens_clothes,0.0
product_category_name_english_fashio_female_clothing,0.0
product_category_name_english_fashion_sport,0.0
product_category_name_english_la_cuisine,0.0
product_category_name_english_music,0.0
product_category_name_english_portateis_cozinha_e_preparadores_de_alimentos,0.0
product_category_name_english_pc_gamer,0.0
product_category_name_english_security_and_services,0.0
