feature,importance
seller_avg_review,0.06896102670213294
purchase_month,0.02102544238749851
customer_state_SP,0.01437704148360163
customer_state_RJ,0.011404970630602331
category_avg_review,0.011239085966241645
estimated_delivery_days,0.010475571434682704
freight_value,0.007303492470016322
product_photos_qty,0.004712848680074607
freight_ratio,0.004610516233946772
seller_total_items,0.0035044093082260944
product_description_lenght,0.0033750984736297517
category_total_items,0.0031438304249655526
product_height_cm,0.0027559347710791374
seller_avg_price,0.0022485791911315747
product_volume_cm3,0.0022253985486757164
product_weight_g,0.002211356551755125
customer_state_MG,0.0021794207213709314
price,0.001928564378013578
price_vs_category_avg_ratio,0.001920260101044597
purchase_hour,0.001745420075085176
product_width_cm,0.0016250857746845412
product_length_cm,0.001476839115378378
category_avg_price,0.001446058020748502
product_name_lenght,0.0013597152684956984
product_category_name_english_bed_bath_table,0.001114491453291857
purchase_dayofweek,0.0010672942676561155
product_category_name_english_health_beauty,0.0008375752959054779
customer_state_BA,0.0007049080015459314
customer_state_PR,0.0006937634054841185
product_category_name_english_furniture_decor,0.0006814706211236765
product_category_name_english_toys,0.000426903943744151
customer_state_RS,0.0004160444159887159
product_category_name_english_computers_accessories,0.0003372188651929755
product_category_name_english_cool_stuff,0.00032301466547595244
product_category_name_english_office_furniture,0.0003167142189003153
product_category_name_english_sports_leisure,0.00030696670964527786
customer_state_CE,0.00026957196851505453
product_category_name_english_stationery,0.00024912396723739724
product_category_name_english_luggage_accessories,0.00024431937211634523
customer_state_MA,0.00023520446107982878
product_category_name_english_garden_tools,0.0002120475713421464
product_category_name_english_None,0.00020525580919588245
product_category_name_english_housewares,0.00017600113618727382
product_category_name_english_telephony,0.0001704180559862334
product_category_name_english_books_general_interest,0.00015911367239432694
customer_state_PA,0.00015211471110055446
product_category_name_english_fashion_bags_accessories,0.0001434053364307095
customer_state_AL,0.0001429964577046914
product_category_name_english_watches_gifts,0.00011615796691671272
customer_state_SC,0.00011274605958497752
product_category_name_english_auto,0.00010914097096313927
product_category_name_english_pet_shop,0.00010464320684637616
customer_state_PE,8.480354230992334e-05
product_category_name_english_baby,7.065720178020668e-05
product_category_name_english_perfumery,6.620220272956667e-05
product_category_name_english_electronics,5.791595399318392e-05
customer_state_DF,5.323674052158305e-05
customer_state_ES,4.6497329635484685e-05
product_category_name_english_fixed_telephony,4.542451123747509e-05
product_category_name_english_consoles_games,4.461830383984618e-05
customer_state_GO,4.2923815478583697e-05
product_category_name_english_home_appliances,3.812259765428837e-05
customer_state_PB,3.4678498595111056e-05
product_category_name_english_small_appliances,3.43128515779527e-05
customer_state_MT,3.3570167494156584e-05
product_category_name_english_food_drink,3.3474517221365894e-05
product_category_name_english_construction_tools_construction,3.322122135861616e-05
product_category_name_english_musical_instruments,3.097558387026736e-05
customer_state_SE,2.7375024837595347e-05
customer_state_PI,2.448208636994404e-05
customer_state_MS,2.4396983727785085e-05
product_category_name_english_home_confort,2.2247945209078893e-05
customer_state_RN,2.2046945428634694e-05
customer_state_TO,1.904752751632832e-05
product_category_name_english_food,1.8381633660517055e-05
product_category_name_english_furniture_living_room,1.8291730812956898e-05
product_category_name_english_art,1.5999514077226687e-05
product_category_name_english_home_construction,1.541634634232456e-05
product_category_name_english_construction_tools_lights,1.5400130286327444e-05
product_category_name_english_drinks,1.4836563496558644e-05
product_category_name_english_signaling_and_security,1.4763995118139754e-05
product_category_name_english_costruction_tools_garden,1.4467084910191922e-05
product_category_name_english_industry_commerce_and_business,1.404440737630602e-05
product_category_name_english_fashion_male_clothing,1.3727861898428497e-05
product_category_name_english_air_conditioning,1.2783523184813072e-05
product_category_name_english_audio,1.187092132161206e-05
product_category_name_english_christmas_supplies,1.175624357364932e-05
product_category_name_english_books_technical,8.8942725606179e-06
product_category_name_english_kitchen_dining_laundry_garden_furniture,8.388304281863054e-06
product_category_name_english_construction_tools_safety,8.052723383384672e-06
customer_state_RO,6.591145342728355e-06
customer_state_AP,6.410845043024432e-06
customer_state_AM,6.289419297502014e-06
product_category_name_english_home_appliances_2,5.607276892589745e-06
product_category_name_english_fashion_shoes,5.16871299478485e-06
product_category_name_english_computers,5.078900000640976e-06
product_category_name_english_agro_industry_and_commerce,4.355925812961951e-06
product_category_name_english_market_place,4.175750375180564e-06
product_category_name_english_small_appliances_home_oven_and_coffee,3.779108617145295e-06
product_category_name_english_costruction_tools_tools,3.66407494451378e-06
product_category_name_english_fashion_underwear_beach,3.0541281981984786e-06
product_category_name_english_dvds_blu_ray,2.3478860299355174e-06
product_category_name_english_diapers_and_hygiene,2.113440894529321e-06
product_category_name_english_cine_photo,1.6637335317283143e-06
product_category_name_english_furniture_bedroom,1.5434254936843693e-06
product_category_name_english_flowers,1.4799889611641705e-06
product_category_name_english_party_supplies,1.470741926253792e-06
product_category_name_english_home_comfort_2,8.836346291901546e-07
customer_state_RR,8.274578111210084e-07
product_category_name_english_books_imported,7.408584764498201e-07
product_category_name_english_tablets_printing_image,6.634766377857251e-07
product_category_name_english_furniture_mattress_and_upholstery,6.181403733719222e-07
customer_state_AC,0.0
product_category_name_english_arts_and_craftmanship,0.0
product_category_name_english_cds_dvds_musicals,0.0
product_category_name_english_fashion_childrens_clothes,0.0
product_category_name_english_fashio_female_clothing,0.0
product_category_name_english_fashion_sport,0.0
product_category_name_english_la_cuisine,0.0
product_category_name_english_music,0.0
product_category_name_english_portateis_cozinha_e_preparadores_de_alimentos,0.0
product_category_name_english_pc_gamer,0.0
product_category_name_english_security_and_services,0.0
